,time,S_c1,C_c1,I_c1,VS_c1,VC_c1,S_h1,C_h1,I_h1,VS_h1,VC_h1,D_h1,CInc_1a,CInc_1b,CInc_1c,CInc_1d,col_adm,col_discharges,admissions,discharges,,,,,
1,0,78346.06363,1687.84039,0.095979486,0,0,389.4791498,45.17346097,1.347389206,0,0,2124.880036,356645.8593,5597.786894,5596.732474,4083.783762,0,0,0,0,,,,,
2,1,23546.2303,510.6079363,0.070131816,54799.82194,1177.269698,351.593793,44.12038018,1.335656071,37.89709731,1.053073456,2124.909099,356650.7501,5597.826129,5596.797546,4083.839344,1.917407906,6.188770945,59.63659183,59.54798092,0.065071317,0.055581827,,0.029062926,
3,2,23583.79442,514.684034,0.058611713,54762.2328,1173.230128,319.0093079,42.79155774,1.310604062,70.50848559,2.380044748,2124.937742,356655.6392,5597.865497,5596.848425,4083.893884,3.834857719,12.37743864,119.2754271,119.0986229,0.050879468,0.054540395,,0.028642653,
4,3,23617.19089,518.5499262,0.053522297,54728.80582,1169.399845,290.9842976,41.27891565,1.280758947,98.5683045,3.887723344,2124.965781,356660.5253,5597.904992,5596.893002,4083.947184,5.752348536,18.56564642,178.9174848,178.6530872,0.044576894,0.05330003,,0.028038979,
5,4,23647.00326,522.1864529,0.051318089,54698.96133,1165.797637,266.8813549,39.65536763,1.249796288,122.7105376,5.502943575,2124.993158,356665.408,5597.944607,5596.934814,4083.999116,7.66987911,24.75294355,238.5630763,238.211743,0.041812151,0.051931794,,0.027376997,
6,5,23673.73312,525.5833567,0.050404911,54672.19976,1162.433354,246.1523397,37.97782796,1.219253912,143.4816429,7.168935601,2125.019868,356670.2869,5597.984335,5596.975448,4084.049608,9.587447745,30.93887647,298.2122286,297.7746225,0.040633805,0.050491814,,0.026709927,
7,6,23697.81171,528.7372627,0.050066349,54648.09098,1159.30998,228.3258017,36.29001395,1.189736188,161.3521889,8.84225921,2125.045927,356675.1618,5598.024167,5597.015612,4084.098632,11.50505229,37.12302235,357.8648527,357.3416201,0.040164023,0.049023654,,0.026059545,
8,7,23719.60984,531.6500235,0.049980679,54626.26485,1156.425304,212.9962142,34.62489089,1.161448915,176.7271952,10.49025075,2125.071361,356680.0325,5598.064097,5597.05562,4084.146192,13.42269015,43.30499874,417.520816,416.9125784,0.04000816,0.047560543,,0.025434007,
9,8,23739.44643,534.327375,0.050003298,54606.40292,1153.773273,199.814726,33.00674598,1.134434737,189.9551845,12.08890878,2125.096197,356684.899,5598.104115,5597.09561,4084.19232,15.34035838,49.48446364,477.1799729,476.4873249,0.039989242,0.046127291,,0.024835726,
10,9,23757.59576,536.7778614,0.050069649,54588.23125,1151.345058,188.4812568,31.45291031,1.108673906,201.3359987,13.62116027,2125.120462,356689.7612,5598.144216,5597.135637,4084.237062,17.25805367,55.66111239,536.8421773,536.065686,0.040027464,0.044741965,,0.024264846,
11,10,23774.29371,539.0119733,0.050150643,54571.51425,1149.129921,178.7376614,29.9751912,1.084127325,211.1275925,15.07542757,2125.144182,356694.6189,5598.184392,5597.175725,4084.280479,19.17577241,61.8346737,596.5072865,595.6474927,0.040087665,0.043417208,,0.023720671,
12,11,23789.74319,541.041466,0.050233608,54556.04923,1147.115887,170.3618543,28.58104784,1.060752265,219.5518892,16.44445642,2125.167385,356699.4721,5598.224635,5597.215878,4084.32264,21.09351072,68.00490602,656.1751628,655.2325816,0.040153783,0.042161377,,0.023202306,
13,12,23804.11871,542.8788304,0.050313078,54541.66188,1145.290272,163.1627802,27.27454708,1.038508318,226.7998002,17.72436421,2125.190093,356704.3208,5598.264941,5597.256097,4084.36362,23.01126451,74.17159437,715.8456732,714.8207949,0.040218998,0.040979486,,0.022708846,
14,13,23817.57037,544.5368802,0.050386903,54528.20227,1143.640094,156.9760651,26.05714512,1.017358384,233.0355692,18.91386221,2125.212333,356709.165,5598.305302,5597.296378,4084.403494,24.92902946,80.33454785,775.5186892,774.4119804,0.040280397,0.03987394,,0.022239453,
15,14,23830.22726,546.0284444,0.050454406,54515.54147,1142.152376,151.6603571,24.92830699,0.997268263,238.4004284,20.0136392,2125.234126,356714.0046,5598.345713,5597.336715,4084.442339,26.84680107,86.49359755,835.1940866,834.0059904,0.040336913,0.038845196,,0.021793357,
16,15,23842.20043,547.3661176,0.050515447,54503.56853,1140.8144,147.0939692,23.88604224,0.978205758,243.0159544,21.02582841,2125.255496,356718.8397,5598.386169,5597.377103,4084.480231,28.76457471,92.64859482,894.8717447,893.6026819,0.040388414,0.037892118,,0.021369839,
17,16,23853.58545,548.5621014,0.05057032,54492.18802,1139.613855,143.1722191,22.92729125,0.960139587,246.9867271,21.95362291,2125.276464,356723.6702,5598.426666,5597.417538,4084.517243,30.68234559,98.79940991,954.5515467,953.2019165,0.040434857,0.037012557,,0.020968217,
18,17,23864.46444,549.6280852,0.050619625,54481.31789,1138.538962,139.8050962,22.04824321,0.943038672,250.4026631,22.80095888,2125.297052,356728.4961,5598.467199,5597.458014,4084.553447,32.60010883,104.9459308,1014.233379,1012.80356,0.040476318,0.036203593,,0.020587822,
