,time,S_c1,C_c1,I_c1,VS_c1,VC_c1,S_h1,C_h1,I_h1,VS_h1,VC_h1,D_h1,CInc_1a,CInc_1b,CInc_1c,CInc_1d,col_adm,col_discharges,admissions,discharges,,,,,
1,0,78346.06363,1687.84039,0.095979486,0,0,389.4791498,45.17346097,1.347389206,0,0,2124.880036,356645.8593,5597.786894,5596.732474,4083.783762,0,0,0,0,,,,,
2,1,78346.06363,1687.84039,0.095979486,0,0,389.4791498,45.17346097,1.347389206,0,0,2124.90919,356650.7505,5597.863691,5596.809258,4083.839777,1.917386683,6.188764153,59.63610855,59.54740768,0.076783589,0.056015092,,0.02915346,
3,2,78346.06363,1687.84039,0.095979486,0,0,389.4791498,45.17346097,1.347389206,0,0,2124.938343,356655.6418,5597.940488,5596.886042,4083.895792,3.834773366,12.37752831,119.2722171,119.0948154,0.076783589,0.056015092,,0.02915346,
4,3,78346.06363,1687.84039,0.095979486,0,0,389.4791498,45.17346097,1.347389206,0,0,2124.967496,356660.5331,5598.017285,5596.962825,4083.951807,5.752160049,18.56629246,178.9083256,178.642223,0.076783589,0.056015092,,0.02915346,
5,4,78346.06363,1687.84039,0.095979486,0,0,389.4791498,45.17346097,1.347389206,0,0,2124.99665,356665.4243,5598.094081,5597.039609,4084.007823,7.669546732,24.75505661,238.5444342,238.1896307,0.076783589,0.056015092,,0.02915346,
6,5,78346.06363,1687.84039,0.095979486,0,0,389.4791498,45.17346097,1.347389206,0,0,2125.025803,356670.3156,5598.170878,5597.116392,4084.063838,9.586933415,30.94382077,298.1805427,297.7370384,0.076783589,0.056015092,,0.02915346,
7,6,78346.06363,1687.84039,0.095979486,0,0,389.4791498,45.17346097,1.347389206,0,0,2125.054957,356675.2069,5598.247675,5597.193176,4084.119853,11.5043201,37.13258492,357.8166513,357.2844461,0.076783589,0.056015092,,0.02915346,
8,7,78346.06363,1687.84039,0.095979486,0,0,389.4791498,45.17346097,1.347389206,0,0,2125.08411,356680.0982,5598.324472,5597.26996,4084.175868,13.42170678,43.32134907,417.4527598,416.8318538,0.076783589,0.056015092,,0.02915346,
9,8,78346.06363,1687.84039,0.095979486,0,0,389.4791498,45.17346097,1.347389206,0,0,2125.113264,356684.9894,5598.401268,5597.346743,4084.231883,15.33909346,49.51011323,477.0888684,476.3792614,0.076783589,0.056015092,,0.02915346,
10,9,78346.06363,1687.84039,0.095979486,0,0,389.4791498,45.17346097,1.347389206,0,0,2125.142417,356689.8807,5598.478065,5597.423527,4084.287898,17.25648015,55.69887738,536.7249769,535.9266691,0.076783589,0.056015092,,0.02915346,
11,10,78346.06363,1687.84039,0.095979486,0,0,389.4791498,45.17346097,1.347389206,0,0,2125.171571,356694.772,5598.554862,5597.50031,4084.343913,19.17386683,61.88764153,596.3610855,595.4740768,0.076783589,0.056015092,,0.02915346,
12,11,78346.06363,1687.84039,0.095979486,0,0,389.4791498,45.17346097,1.347389206,0,0,2125.200724,356699.6632,5598.631658,5597.577094,4084.399928,21.09125351,68.07640569,655.997194,655.0214845,0.076783589,0.056015092,,0.02915346,
13,12,78346.06363,1687.84039,0.095979486,0,0,389.4791498,45.17346097,1.347389206,0,0,2125.229878,356704.5545,5598.708455,5597.653878,4084.455943,23.0086402,74.26516984,715.6333026,714.5688921,0.076783589,0.056015092,,0.02915346,
14,13,78346.06363,1687.84039,0.095979486,0,0,389.4791498,45.17346097,1.347389206,0,0,2125.259031,356709.4458,5598.785252,5597.730661,4084.511958,24.92602688,80.45393399,775.2694111,774.1162998,0.076783589,0.056015092,,0.02915346,
15,14,78346.06363,1687.84039,0.095979486,0,0,389.4791498,45.17346097,1.347389206,0,0,2125.288184,356714.3371,5598.862049,5597.807445,4084.567974,26.84341356,86.64269815,834.9055197,833.6637075,0.076783589,0.056015092,,0.02915346,
16,15,78346.06363,1687.84039,0.095979486,0,0,389.4791498,45.17346097,1.347389206,0,0,2125.317338,356719.2283,5598.938845,5597.884228,4084.623989,28.76080024,92.8314623,894.5416282,893.2111152,0.076783589,0.056015092,,0.02915346,
17,16,78346.06363,1687.84039,0.095979486,0,0,389.4791498,45.17346097,1.347389206,0,0,2125.346491,356724.1196,5599.015642,5597.961012,4084.680004,30.67818693,99.02022645,954.1777367,952.7585229,0.076783589,0.056015092,,0.02915346,
18,17,78346.06363,1687.84039,0.095979486,0,0,389.4791498,45.17346097,1.347389206,0,0,2125.375645,356729.0109,5599.092439,5598.037795,4084.736019,32.59557361,105.2089906,1013.813845,1012.305931,0.076783589,0.056015092,,0.02915346,
19,18,78346.06363,1687.84039,0.095979486,0,0,389.4791498,45.17346097,1.347389206,0,0,2125.404798,356733.9022,5599.169236,5598.114579,4084.792034,34.51296029,111.3977548,1073.449954,1071.853338,0.076783589,0.056015092,,0.02915346,
20,19,78346.06363,1687.84039,0.095979486,0,0,389.4791498,45.17346097,1.347389206,0,0,2125.433952,356738.7934,5599.246032,5598.191363,4084.848049,36.43034698,117.5865189,1133.086062,1131.400746,0.076783589,0.056015092,,0.02915346,
21,20,78346.06363,1687.84039,0.095979486,0,0,389.4791498,45.17346097,1.347389206,0,0,2125.463105,356743.6847,5599.322829,5598.268146,4084.904064,38.34773366,123.7752831,1192.722171,1190.948154,0.076783589,0.056015092,,0.02915346,
22,21,78346.06363,1687.84039,0.095979486,0,0,389.4791498,45.17346097,1.347389206,0,0,2125.492259,356748.576,5599.399626,5598.34493,4084.960079,40.26512034,129.9640472,1252.358279,1250.495561,0.076783589,0.056015092,,0.02915346,
23,22,78346.06363,1687.84039,0.095979486,0,0,389.4791498,45.17346097,1.347389206,0,0,2125.521412,356753.4672,5599.476423,5598.421713,4085.016094,42.18250703,136.1528114,1311.994388,1310.042969,0.076783589,0.056015092,,0.02915346,
24,23,78346.06363,1687.84039,0.095979486,0,0,389.4791498,45.17346097,1.347389206,0,0,2125.550566,356758.3585,5599.553219,5598.498497,4085.072109,44.09989371,142.3415755,1371.630497,1369.590377,0.076783589,0.056015092,,0.02915346,
25,24,78346.06363,1687.84039,0.095979486,0,0,389.4791498,45.17346097,1.347389206,0,0,2125.579719,356763.2498,5599.630016,5598.575281,4085.128124,46.01728039,148.5303397,1431.266605,1429.137784,0.076783589,0.056015092,,0.02915346,
26,25,78346.06363,1687.84039,0.095979486,0,0,389.4791498,45.17346097,1.347389206,0,0,2125.608873,356768.1411,5599.706813,5598.652064,4085.18414,47.93466707,154.7191038,1490.902714,1488.685192,0.076783589,0.056015092,,0.02915346,
27,26,78346.06363,1687.84039,0.095979486,0,0,389.4791498,45.17346097,1.347389206,0,0,2125.638026,356773.0323,5599.78361,5598.728848,4085.240155,49.85205376,160.907868,1550.538822,1548.2326,0.076783589,0.056015092,,0.02915346,
28,27,78346.06363,1687.84039,0.095979486,0,0,389.4791498,45.17346097,1.347389206,0,0,2125.667179,356777.9236,5599.860406,5598.805631,4085.29617,51.76944044,167.0966321,1610.174931,1607.780007,0.076783589,0.056015092,,0.02915346,
29,28,78346.06363,1687.84039,0.095979486,0,0,389.4791498,45.17346097,1.347389206,0,0,2125.696333,356782.8149,5599.937203,5598.882415,4085.352185,53.68682712,173.2853963,1669.811039,1667.327415,0.076783589,0.056015092,,0.02915346,
30,29,78346.06363,1687.84039,0.095979486,0,0,389.4791498,45.17346097,1.347389206,0,0,2125.725486,356787.7061,5600.014,5598.959199,4085.4082,55.60421381,179.4741604,1729.447148,1726.874823,0.076783589,0.056015092,,0.02915346,
31,30,78346.06363,1687.84039,0.095979486,0,0,389.4791498,45.17346097,1.347389206,0,0,2125.75464,356792.5974,5600.090797,5599.035982,4085.464215,57.52160049,185.6629246,1789.083256,1786.42223,0.076783589,0.056015092,,0.02915346,
32,31,78346.06363,1687.84039,0.095979486,0,0,389.4791498,45.17346097,1.347389206,0,0,2125.783793,356797.4887,5600.167593,5599.112766,4085.52023,59.43898717,191.8516888,1848.719365,1845.969638,0.076783589,0.056015092,,0.02915346,
33,32,78346.06363,1687.84039,0.095979486,0,0,389.4791498,45.17346097,1.347389206,0,0,2125.812947,356802.38,5600.24439,5599.189549,4085.576245,61.35637386,198.0404529,1908.355473,1905.517046,0.076783589,0.056015092,,0.02915346,
34,33,78346.06363,1687.84039,0.095979486,0,0,389.4791498,45.17346097,1.347389206,0,0,2125.8421,356807.2712,5600.321187,5599.266333,4085.63226,63.27376054,204.2292171,1967.991582,1965.064453,0.076783589,0.056015092,,0.02915346,
35,34,78346.06363,1687.84039,0.095979486,0,0,389.4791498,45.17346097,1.347389206,0,0,2125.871254,356812.1625,5600.397983,5599.343116,4085.688275,65.19114722,210.4179812,2027.627691,2024.611861,0.076783589,0.056015092,,0.02915346,
36,35,78346.06363,1687.84039,0.095979486,0,0,389.4791498,45.17346097,1.347389206,0,0,2125.900407,356817.0538,5600.47478,5599.4199,4085.74429,67.1085339,216.6067454,2087.263799,2084.159269,0.076783589,0.056015092,,0.02915346,
37,36,78346.06363,1687.84039,0.095979486,0,0,389.4791498,45.17346097,1.347389206,0,0,2125.929561,356821.9451,5600.551577,5599.496684,4085.800306,69.02592059,222.7955095,2146.899908,2143.706676,0.076783589,0.056015092,,0.02915346,
