"","year","vacc_coverage","vacc_efficacy","no_int_cases_cum","with_int_baseline_cases_cum"
"1",1,0.1,0.1,2668,2640
"2",2,0.1,0.1,5336,5278
"3",3,0.1,0.1,8004,7915
"4",4,0.1,0.1,10672,10552
"5",5,0.1,0.1,13340,13189
"6",1,0.1,0.2,2668,2613
"7",2,0.1,0.2,5336,5222
"8",3,0.1,0.2,8004,7829
"9",4,0.1,0.2,10672,10435
"10",5,0.1,0.2,13340,13041
"11",1,0.1,0.3,2668,2586
"12",2,0.1,0.3,5336,5166
"13",3,0.1,0.3,8004,7743
"14",4,0.1,0.3,10672,10319
"15",5,0.1,0.3,13340,12894
"16",1,0.1,0.4,2668,2559
"17",2,0.1,0.4,5336,5109
"18",3,0.1,0.4,8004,7656
"19",4,0.1,0.4,10672,10201
"20",5,0.1,0.4,13340,12746
"21",1,0.1,0.5,2668,2532
"22",2,0.1,0.5,5336,5053
"23",3,0.1,0.5,8004,7570
"24",4,0.1,0.5,10672,10084
"25",5,0.1,0.5,13340,12598
"26",1,0.1,0.6,2668,2505
"27",2,0.1,0.6,5336,4997
"28",3,0.1,0.6,8004,7483
"29",4,0.1,0.6,10672,9967
"30",5,0.1,0.6,13340,12450
"31",1,0.1,0.7,2668,2478
"32",2,0.1,0.7,5336,4940
"33",3,0.1,0.7,8004,7396
"34",4,0.1,0.7,10672,9849
"35",5,0.1,0.7,13340,12302
"36",1,0.1,0.8,2668,2451
"37",2,0.1,0.8,5336,4884
"38",3,0.1,0.8,8004,7310
"39",4,0.1,0.8,10672,9733
"40",5,0.1,0.8,13340,12155
"41",1,0.1,0.9,2668,2423
"42",2,0.1,0.9,5336,4827
"43",3,0.1,0.9,8004,7223
"44",4,0.1,0.9,10672,9615
"45",5,0.1,0.9,13340,12007
"46",1,0.1,1,2668,2396
"47",2,0.1,1,5336,4770
"48",3,0.1,1,8004,7136
"49",4,0.1,1,10672,9498
"50",5,0.1,1,13340,11859
"51",1,0.2,0.1,2668,2613
"52",2,0.2,0.1,5336,5222
"53",3,0.2,0.1,8004,7829
"54",4,0.2,0.1,10672,10435
"55",5,0.2,0.1,13340,13041
"56",1,0.2,0.2,2668,2559
"57",2,0.2,0.2,5336,5110
"58",3,0.2,0.2,8004,7657
"59",4,0.2,0.2,10672,10203
"60",5,0.2,0.2,13340,12748
"61",1,0.2,0.3,2668,2505
"62",2,0.2,0.3,5336,4998
"63",3,0.2,0.3,8004,7485
"64",4,0.2,0.3,10672,9970
"65",5,0.2,0.3,13340,12455
"66",1,0.2,0.4,2668,2451
"67",2,0.2,0.4,5336,4886
"68",3,0.2,0.4,8004,7314
"69",4,0.2,0.4,10672,9739
"70",5,0.2,0.4,13340,12164
"71",1,0.2,0.5,2668,2397
"72",2,0.2,0.5,5336,4774
"73",3,0.2,0.5,8004,7143
"74",4,0.2,0.5,10672,9508
"75",5,0.2,0.5,13340,11873
"76",1,0.2,0.6,2668,2344
"77",2,0.2,0.6,5336,4663
"78",3,0.2,0.6,8004,6973
"79",4,0.2,0.6,10672,9279
"80",5,0.2,0.6,13340,11584
"81",1,0.2,0.7,2668,2290
"82",2,0.2,0.7,5336,4551
"83",3,0.2,0.7,8004,6802
"84",4,0.2,0.7,10672,9049
"85",5,0.2,0.7,13340,11295
"86",1,0.2,0.8,2668,2236
"87",2,0.2,0.8,5336,4440
"88",3,0.2,0.8,8004,6632
"89",4,0.2,0.8,10672,8820
"90",5,0.2,0.8,13340,11008
"91",1,0.2,0.9,2668,2182
"92",2,0.2,0.9,5336,4329
"93",3,0.2,0.9,8004,6463
"94",4,0.2,0.9,10672,8592
"95",5,0.2,0.9,13340,10722
"96",1,0.2,1,2668,2129
"97",2,0.2,1,5336,4219
"98",3,0.2,1,8004,6295
"99",4,0.2,1,10672,8366
"100",5,0.2,1,13340,10438
"101",1,0.3,0.1,2668,2586
"102",2,0.3,0.1,5336,5166
"103",3,0.3,0.1,8004,7743
"104",4,0.3,0.1,10672,10319
"105",5,0.3,0.1,13340,12895
"106",1,0.3,0.2,2668,2506
"107",2,0.3,0.2,5336,4999
"108",3,0.3,0.2,8004,7487
"109",4,0.3,0.2,10672,9972
"110",5,0.3,0.2,13340,12457
"111",1,0.3,0.3,2668,2425
"112",2,0.3,0.3,5336,4831
"113",3,0.3,0.3,8004,7230
"114",4,0.3,0.3,10672,9626
"115",5,0.3,0.3,13340,12022
"116",1,0.3,0.4,2668,2344
"117",2,0.3,0.4,5336,4664
"118",3,0.3,0.4,8004,6975
"119",4,0.3,0.4,10672,9282
"120",5,0.3,0.4,13340,11589
"121",1,0.3,0.5,2668,2264
"122",2,0.3,0.5,5336,4499
"123",3,0.3,0.5,8004,6723
"124",4,0.3,0.5,10672,8943
"125",5,0.3,0.5,13340,11163
"126",1,0.3,0.6,2668,2184
"127",2,0.3,0.6,5336,4334
"128",3,0.3,0.6,8004,6471
"129",4,0.3,0.6,10672,8604
"130",5,0.3,0.6,13340,10737
"131",1,0.3,0.7,2668,2104
"132",2,0.3,0.7,5336,4169
"133",3,0.3,0.7,8004,6221
"134",4,0.3,0.7,10672,8268
"135",5,0.3,0.7,13340,10316
"136",1,0.3,0.8,2668,2024
"137",2,0.3,0.8,5336,4005
"138",3,0.3,0.8,8004,5972
"139",4,0.3,0.8,10672,7934
"140",5,0.3,0.8,13340,9898
"141",1,0.3,0.9,2668,1944
"142",2,0.3,0.9,5336,3841
"143",3,0.3,0.9,8004,5724
"144",4,0.3,0.9,10672,7603
"145",5,0.3,0.9,13340,9484
"146",1,0.3,1,2668,1865
"147",2,0.3,1,5336,3679
"148",3,0.3,1,8004,5479
"149",4,0.3,1,10672,7275
"150",5,0.3,1,13340,9074
"151",1,0.4,0.1,2668,2559
"152",2,0.4,0.1,5336,5110
"153",3,0.4,0.1,8004,7657
"154",4,0.4,0.1,10672,10203
"155",5,0.4,0.1,13340,12749
"156",1,0.4,0.2,2668,2452
"157",2,0.4,0.2,5336,4887
"158",3,0.4,0.2,8004,7316
"159",4,0.4,0.2,10672,9742
"160",5,0.4,0.2,13340,12168
"161",1,0.4,0.3,2668,2345
"162",2,0.4,0.3,5336,4666
"163",3,0.4,0.3,8004,6978
"164",4,0.4,0.3,10672,9286
"165",5,0.4,0.3,13340,11594
"166",1,0.4,0.4,2668,2238
"167",2,0.4,0.4,5336,4445
"168",3,0.4,0.4,8004,6641
"169",4,0.4,0.4,10672,8833
"170",5,0.4,0.4,13340,11025
"171",1,0.4,0.5,2668,2131
"172",2,0.4,0.5,5336,4226
"173",3,0.4,0.5,8004,6308
"174",4,0.4,0.5,10672,8386
"175",5,0.4,0.5,13340,10464
"176",1,0.4,0.6,2668,2025
"177",2,0.4,0.6,5336,4008
"178",3,0.4,0.6,8004,5978
"179",4,0.4,0.6,10672,7943
"180",5,0.4,0.6,13340,9910
"181",1,0.4,0.7,2668,1920
"182",2,0.4,0.7,5336,3793
"183",3,0.4,0.7,8004,5652
"184",4,0.4,0.7,10672,7507
"185",5,0.4,0.7,13340,9364
"186",1,0.4,0.8,2668,1815
"187",2,0.4,0.8,5336,3579
"188",3,0.4,0.8,8004,5328
"189",4,0.4,0.8,10672,7074
"190",5,0.4,0.8,13340,8824
"191",1,0.4,0.9,2668,1710
"192",2,0.4,0.9,5336,3365
"193",3,0.4,0.9,8004,5006
"194",4,0.4,0.9,10672,6646
"195",5,0.4,0.9,13340,8291
"196",1,0.4,1,2668,1605
"197",2,0.4,1,5336,3153
"198",3,0.4,1,8004,4688
"199",4,0.4,1,10672,6223
"200",5,0.4,1,13340,7765
"201",1,0.5,0.1,2668,2533
"202",2,0.5,0.1,5336,5055
"203",3,0.5,0.1,8004,7573
"204",4,0.5,0.1,10672,10089
"205",5,0.5,0.1,13340,12604
"206",1,0.5,0.2,2668,2398
"207",2,0.5,0.2,5336,4776
"208",3,0.5,0.2,8004,7146
"209",4,0.5,0.2,10672,9513
"210",5,0.5,0.2,13340,11880
"211",1,0.5,0.3,2668,2265
"212",2,0.5,0.3,5336,4501
"213",3,0.5,0.3,8004,6727
"214",4,0.5,0.3,10672,8948
"215",5,0.5,0.3,13340,11169
"216",1,0.5,0.4,2668,2132
"217",2,0.5,0.4,5336,4228
"218",3,0.5,0.4,8004,6311
"219",4,0.5,0.4,10672,8390
"220",5,0.5,0.4,13340,10470
"221",1,0.5,0.5,2668,2000
"222",2,0.5,0.5,5336,3957
"223",3,0.5,0.5,8004,5901
"224",4,0.5,0.5,10672,7840
"225",5,0.5,0.5,13340,9781
"226",1,0.5,0.6,2668,1868
"227",2,0.5,0.6,5336,3688
"228",3,0.5,0.6,8004,5494
"229",4,0.5,0.6,10672,7297
"230",5,0.5,0.6,13340,9103
"231",1,0.5,0.7,2668,1738
"232",2,0.5,0.7,5336,3423
"233",3,0.5,0.7,8004,5095
"234",4,0.5,0.7,10672,6765
"235",5,0.5,0.7,13340,8440
"236",1,0.5,0.8,2668,1608
"237",2,0.5,0.8,5336,3160
"238",3,0.5,0.8,8004,4699
"239",4,0.5,0.8,10672,6238
"240",5,0.5,0.8,13340,7785
"241",1,0.5,0.9,2668,1478
"242",2,0.5,0.9,5336,2898
"243",3,0.5,0.9,8004,4308
"244",4,0.5,0.9,10672,5720
"245",5,0.5,0.9,13340,7142
"246",1,0.5,1,2668,1350
"247",2,0.5,1,5336,2640
"248",3,0.5,1,8004,3922
"249",4,0.5,1,10672,5210
"250",5,0.5,1,13340,6511
"251",1,0.6,0.1,2668,2506
"252",2,0.6,0.1,5336,4999
"253",3,0.6,0.1,8004,7487
"254",4,0.6,0.1,10672,9973
"255",5,0.6,0.1,13340,12459
"256",1,0.6,0.2,2668,2345
"257",2,0.6,0.2,5336,4666
"258",3,0.6,0.2,8004,6978
"259",4,0.6,0.2,10672,9287
"260",5,0.6,0.2,13340,11596
"261",1,0.6,0.3,2668,2185
"262",2,0.6,0.3,5336,4337
"263",3,0.6,0.3,8004,6478
"264",4,0.6,0.3,10672,8614
"265",5,0.6,0.3,13340,10751
"266",1,0.6,0.4,2668,2027
"267",2,0.6,0.4,5336,4013
"268",3,0.6,0.4,8004,5985
"269",4,0.6,0.4,10672,7953
"270",5,0.6,0.4,13340,9923
"271",1,0.6,0.5,2668,1869
"272",2,0.6,0.5,5336,3691
"273",3,0.6,0.5,8004,5499
"274",4,0.6,0.5,10672,7304
"275",5,0.6,0.5,13340,9112
"276",1,0.6,0.6,2668,1713
"277",2,0.6,0.6,5336,3373
"278",3,0.6,0.6,8004,5020
"279",4,0.6,0.6,10672,6666
"280",5,0.6,0.6,13340,8317
"281",1,0.6,0.7,2668,1557
"282",2,0.6,0.7,5336,3059
"283",3,0.6,0.7,8004,4549
"284",4,0.6,0.7,10672,6040
"285",5,0.6,0.7,13340,7540
"286",1,0.6,0.8,2668,1403
"287",2,0.6,0.8,5336,2748
"288",3,0.6,0.8,8004,4085
"289",4,0.6,0.8,10672,5426
"290",5,0.6,0.8,13340,6779
"291",1,0.6,0.9,2668,1250
"292",2,0.6,0.9,5336,2442
