"","vacc_coverage","vacc_efficacy","transmission_coefficient","total_cases"
"1",0,0,0.0048,0
"2",0,0,0.0258222222222222,0
"3",0,0,0.0468444444444444,0
"4",0,0,0.0678666666666667,0
"5",0,0,0.0888888888888889,0
"6",0,0,0.109911111111111,13340
"7",0,0,0.130933333333333,59820
"8",0,0,0.151955555555556,93540
"9",0,0,0.172977777777778,119120
"10",0,0,0.194,139195
"11",0,0.7,0.0048,0
"12",0,0.7,0.0258222222222222,0
"13",0,0.7,0.0468444444444444,0
"14",0,0.7,0.0678666666666667,0
"15",0,0.7,0.0888888888888889,0
"16",0,0.7,0.109911111111111,13340
"17",0,0.7,0.130933333333333,59820
"18",0,0.7,0.151955555555556,93540
"19",0,0.7,0.172977777777778,119120
"20",0,0.7,0.194,139195
"21",0.7,0,0.0048,0
"22",0.7,0,0.0258222222222222,0
"23",0.7,0,0.0468444444444444,0
"24",0.7,0,0.0678666666666667,0
"25",0.7,0,0.0888888888888889,0
"26",0.7,0,0.109911111111111,13340
"27",0.7,0,0.130933333333333,59820
"28",0.7,0,0.151955555555556,93540
"29",0.7,0,0.172977777777778,119120
"30",0.7,0,0.194,139195
"31",0.7,0.7,0.0048,0
"32",0.7,0.7,0.0258222222222222,0
"33",0.7,0.7,0.0468444444444444,0
"34",0.7,0.7,0.0678666666666667,0
"35",0.7,0.7,0.0888888888888889,0
"36",0.7,0.7,0.109911111111111,6665
"37",0.7,0.7,0.130933333333333,32531
"38",0.7,0.7,0.151955555555556,51942
"39",0.7,0.7,0.172977777777778,66744
"40",0.7,0.7,0.194,78379
