"","year","vacc_coverage","vacc_efficacy","transmission_coefficient","total_cases"
"1",81,0,0,0.0048,0
"2",81,0,0,0.0258222222222222,0
"3",81,0,0,0.0468444444444444,0
"4",81,0,0,0.0678666666666667,0
"5",81,0,0,0.0888888888888889,0
"6",81,0,0,0.109911111111111,2668
"7",81,0,0,0.130933333333333,11964
"8",81,0,0,0.151955555555556,18708
"9",81,0,0,0.172977777777778,23824
"10",81,0,0,0.194,27839
"11",81,0,0.7,0.0048,0
"12",81,0,0.7,0.0258222222222222,0
"13",81,0,0.7,0.0468444444444444,0
"14",81,0,0.7,0.0678666666666667,0
"15",81,0,0.7,0.0888888888888889,0
"16",81,0,0.7,0.109911111111111,2668
"17",81,0,0.7,0.130933333333333,11964
"18",81,0,0.7,0.151955555555556,18708
"19",81,0,0.7,0.172977777777778,23824
"20",81,0,0.7,0.194,27839
"21",81,0.7,0,0.0048,0
"22",81,0.7,0,0.0258222222222222,0
"23",81,0.7,0,0.0468444444444444,0
"24",81,0.7,0,0.0678666666666667,0
"25",81,0.7,0,0.0888888888888889,0
"26",81,0.7,0,0.109911111111111,2668
"27",81,0.7,0,0.130933333333333,11964
"28",81,0.7,0,0.151955555555556,18708
"29",81,0.7,0,0.172977777777778,23824
"30",81,0.7,0,0.194,27839
"31",81,0.7,0.7,0.0048,0
"32",81,0.7,0.7,0.0258222222222222,0
"33",81,0.7,0.7,0.0468444444444444,0
"34",81,0.7,0.7,0.0678666666666667,0
"35",81,0.7,0.7,0.0888888888888889,0
"36",81,0.7,0.7,0.109911111111111,1376
"37",81,0.7,0.7,0.130933333333333,6283
"38",81,0.7,0.7,0.151955555555556,9897
"39",81,0.7,0.7,0.172977777777778,12649
"40",81,0.7,0.7,0.194,14810
"41",82,0,0,0.0048,0
"42",82,0,0,0.0258222222222222,0
"43",82,0,0,0.0468444444444444,0
"44",82,0,0,0.0678666666666667,0
"45",82,0,0,0.0888888888888889,0
"46",82,0,0,0.109911111111111,2668
"47",82,0,0,0.130933333333333,11964
"48",82,0,0,0.151955555555556,18708
"49",82,0,0,0.172977777777778,23824
"50",82,0,0,0.194,27839
"51",82,0,0.7,0.0048,0
"52",82,0,0.7,0.0258222222222222,0
"53",82,0,0.7,0.0468444444444444,0
"54",82,0,0.7,0.0678666666666667,0
"55",82,0,0.7,0.0888888888888889,0
"56",82,0,0.7,0.109911111111111,2668
"57",82,0,0.7,0.130933333333333,11964
"58",82,0,0.7,0.151955555555556,18708
"59",82,0,0.7,0.172977777777778,23824
"60",82,0,0.7,0.194,27839
"61",82,0.7,0,0.0048,0
"62",82,0.7,0,0.0258222222222222,0
"63",82,0.7,0,0.0468444444444444,0
"64",82,0.7,0,0.0678666666666667,0
"65",82,0.7,0,0.0888888888888889,0
"66",82,0.7,0,0.109911111111111,2668
"67",82,0.7,0,0.130933333333333,11964
"68",82,0.7,0,0.151955555555556,18708
"69",82,0.7,0,0.172977777777778,23824
"70",82,0.7,0,0.194,27839
"71",82,0.7,0.7,0.0048,0
"72",82,0.7,0.7,0.0258222222222222,0
"73",82,0.7,0.7,0.0468444444444444,0
"74",82,0.7,0.7,0.0678666666666667,0
"75",82,0.7,0.7,0.0888888888888889,0
"76",82,0.7,0.7,0.109911111111111,1322
"77",82,0.7,0.7,0.130933333333333,6265
"78",82,0.7,0.7,0.151955555555556,9976
"79",82,0.7,0.7,0.172977777777778,12814
"80",82,0.7,0.7,0.194,15047
"81",83,0,0,0.0048,0
"82",83,0,0,0.0258222222222222,0
"83",83,0,0,0.0468444444444444,0
"84",83,0,0,0.0678666666666667,0
"85",83,0,0,0.0888888888888889,0
"86",83,0,0,0.109911111111111,2668
"87",83,0,0,0.130933333333333,11964
"88",83,0,0,0.151955555555556,18708
"89",83,0,0,0.172977777777778,23824
"90",83,0,0,0.194,27839
"91",83,0,0.7,0.0048,0
"92",83,0,0.7,0.0258222222222222,0
"93",83,0,0.7,0.0468444444444444,0
"94",83,0,0.7,0.0678666666666667,0
"95",83,0,0.7,0.0888888888888889,0
"96",83,0,0.7,0.109911111111111,2668
"97",83,0,0.7,0.130933333333333,11964
"98",83,0,0.7,0.151955555555556,18708
"99",83,0,0.7,0.172977777777778,23824
"100",83,0,0.7,0.194,27839
"101",83,0.7,0,0.0048,0
"102",83,0.7,0,0.0258222222222222,0
"103",83,0.7,0,0.0468444444444444,0
"104",83,0.7,0,0.0678666666666667,0
"105",83,0.7,0,0.0888888888888889,0
"106",83,0.7,0,0.109911111111111,2668
"107",83,0.7,0,0.130933333333333,11964
"108",83,0.7,0,0.151955555555556,18708
"109",83,0.7,0,0.172977777777778,23824
"110",83,0.7,0,0.194,27839
"111",83,0.7,0.7,0.0048,0
"112",83,0.7,0.7,0.0258222222222222,0
"113",83,0.7,0.7,0.0468444444444444,0
"114",83,0.7,0.7,0.0678666666666667,0
"115",83,0.7,0.7,0.0888888888888889,0
"116",83,0.7,0.7,0.109911111111111,1315
"117",83,0.7,0.7,0.130933333333333,6441
"118",83,0.7,0.7,0.151955555555556,10314
"119",83,0.7,0.7,0.172977777777778,13272
"120",83,0.7,0.7,0.194,15598
"121",84,0,0,0.0048,0
"122",84,0,0,0.0258222222222222,0
"123",84,0,0,0.0468444444444444,0
"124",84,0,0,0.0678666666666667,0
"125",84,0,0,0.0888888888888889,0
"126",84,0,0,0.109911111111111,2668
"127",84,0,0,0.130933333333333,11964
"128",84,0,0,0.151955555555556,18708
"129",84,0,0,0.172977777777778,23824
"130",84,0,0,0.194,27839
"131",84,0,0.7,0.0048,0
"132",84,0,0.7,0.0258222222222222,0
"133",84,0,0.7,0.0468444444444444,0
"134",84,0,0.7,0.0678666666666667,0
"135",84,0,0.7,0.0888888888888889,0
"136",84,0,0.7,0.109911111111111,2668
"137",84,0,0.7,0.130933333333333,11964
"138",84,0,0.7,0.151955555555556,18708
"139",84,0,0.7,0.172977777777778,23824
"140",84,0,0.7,0.194,27839
"141",84,0.7,0,0.0048,0
"142",84,0.7,0,0.0258222222222222,0
"143",84,0.7,0,0.0468444444444444,0
"144",84,0.7,0,0.0678666666666667,0
"145",84,0.7,0,0.0888888888888889,0
"146",84,0.7,0,0.109911111111111,2668
"147",84,0.7,0,0.130933333333333,11964
"148",84,0.7,0,0.151955555555556,18708
"149",84,0.7,0,0.172977777777778,23824
"150",84,0.7,0,0.194,27839
"151",84,0.7,0.7,0.0048,0
"152",84,0.7,0.7,0.0258222222222222,0
"153",84,0.7,0.7,0.0468444444444444,0
"154",84,0.7,0.7,0.0678666666666667,0
"155",84,0.7,0.7,0.0888888888888889,0
"156",84,0.7,0.7,0.109911111111111,1320
"157",84,0.7,0.7,0.130933333333333,6657
"158",84,0.7,0.7,0.151955555555556,10689
"159",84,0.7,0.7,0.172977777777778,13762
"160",84,0.7,0.7,0.194,16178
"161",85,0,0,0.0048,0
"162",85,0,0,0.0258222222222222,0
"163",85,0,0,0.0468444444444444,0
"164",85,0,0,0.0678666666666667,0
"165",85,0,0,0.0888888888888889,0
"166",85,0,0,0.109911111111111,2668
"167",85,0,0,0.130933333333333,11964
"168",85,0,0,0.151955555555556,18708
"169",85,0,0,0.172977777777778,23824
"170",85,0,0,0.194,27839
"171",85,0,0.7,0.0048,0
"172",85,0,0.7,0.0258222222222222,0
"173",85,0,0.7,0.0468444444444444,0
"174",85,0,0.7,0.0678666666666667,0
"175",85,0,0.7,0.0888888888888889,0
"176",85,0,0.7,0.109911111111111,2668
"177",85,0,0.7,0.130933333333333,11964
"178",85,0,0.7,0.151955555555556,18708
"179",85,0,0.7,0.172977777777778,23824
