"","year","vacc_coverage","vacc_efficacy","total_cases"
"1",1,0,0,2668
"2",1,0,0.1,2668
"3",1,0,0.2,2668
"4",1,0,0.3,2668
"5",1,0,0.4,2668
"6",1,0,0.5,2668
"7",1,0,0.6,2668
"8",1,0,0.7,2668
"9",1,0,0.8,2668
"10",1,0,0.9,2668
"11",1,0,1,2668
"12",1,0.1,0,2668
"13",1,0.1,0.1,2640
"14",1,0.1,0.2,2613
"15",1,0.1,0.3,2586
"16",1,0.1,0.4,2559
"17",1,0.1,0.5,2532
"18",1,0.1,0.6,2505
"19",1,0.1,0.7,2478
"20",1,0.1,0.8,2451
"21",1,0.1,0.9,2423
"22",1,0.1,1,2396
"23",1,0.2,0,2668
"24",1,0.2,0.1,2613
"25",1,0.2,0.2,2559
"26",1,0.2,0.3,2505
"27",1,0.2,0.4,2451
"28",1,0.2,0.5,2397
"29",1,0.2,0.6,2344
"30",1,0.2,0.7,2290
"31",1,0.2,0.8,2236
"32",1,0.2,0.9,2182
"33",1,0.2,1,2129
"34",1,0.3,0,2668
"35",1,0.3,0.1,2586
"36",1,0.3,0.2,2506
"37",1,0.3,0.3,2425
"38",1,0.3,0.4,2344
"39",1,0.3,0.5,2264
"40",1,0.3,0.6,2184
"41",1,0.3,0.7,2104
"42",1,0.3,0.8,2024
"43",1,0.3,0.9,1944
"44",1,0.3,1,1865
"45",1,0.4,0,2668
"46",1,0.4,0.1,2559
"47",1,0.4,0.2,2452
"48",1,0.4,0.3,2345
"49",1,0.4,0.4,2238
"50",1,0.4,0.5,2131
"51",1,0.4,0.6,2025
"52",1,0.4,0.7,1920
"53",1,0.4,0.8,1815
"54",1,0.4,0.9,1710
"55",1,0.4,1,1605
"56",1,0.5,0,2668
"57",1,0.5,0.1,2533
"58",1,0.5,0.2,2398
"59",1,0.5,0.3,2265
"60",1,0.5,0.4,2132
"61",1,0.5,0.5,2000
"62",1,0.5,0.6,1868
"63",1,0.5,0.7,1738
"64",1,0.5,0.8,1608
"65",1,0.5,0.9,1478
"66",1,0.5,1,1350
"67",1,0.6,0,2668
"68",1,0.6,0.1,2506
"69",1,0.6,0.2,2345
"70",1,0.6,0.3,2185
"71",1,0.6,0.4,2027
"72",1,0.6,0.5,1869
"73",1,0.6,0.6,1713
"74",1,0.6,0.7,1557
"75",1,0.6,0.8,1403
"76",1,0.6,0.9,1250
"77",1,0.6,1,1098
"78",1,0.7,0,2668
"79",1,0.7,0.1,2479
"80",1,0.7,0.2,2292
"81",1,0.7,0.3,2106
"82",1,0.7,0.4,1922
"83",1,0.7,0.5,1739
"84",1,0.7,0.6,1558
"85",1,0.7,0.7,1379
"86",1,0.7,0.8,1201
"87",1,0.7,0.9,1025
"88",1,0.7,1,850
"89",1,0.8,0,2668
"90",1,0.8,0.1,2452
"91",1,0.8,0.2,2239
"92",1,0.8,0.3,2027
"93",1,0.8,0.4,1818
"94",1,0.8,0.5,1611
"95",1,0.8,0.6,1406
"96",1,0.8,0.7,1203
"97",1,0.8,0.8,1001
"98",1,0.8,0.9,803
"99",1,0.8,1,606
"100",1,0.9,0,2668
"101",1,0.9,0.1,2425
"102",1,0.9,0.2,2186
"103",1,0.9,0.3,1949
"104",1,0.9,0.4,1715
"105",1,0.9,0.5,1483
"106",1,0.9,0.6,1254
"107",1,0.9,0.7,1028
"108",1,0.9,0.8,804
"109",1,0.9,0.9,583
"110",1,0.9,1,365
"111",1,1,0,2668
"112",1,1,0.1,2399
"113",1,1,0.2,2133
"114",1,1,0.3,1871
"115",1,1,0.4,1612
"116",1,1,0.5,1356
"117",1,1,0.6,1104
"118",1,1,0.7,855
"119",1,1,0.8,610
"120",1,1,0.9,367
"121",1,1,1,129
"122",2,0,0,2668
"123",2,0,0.1,2668
"124",2,0,0.2,2668
"125",2,0,0.3,2668
"126",2,0,0.4,2668
"127",2,0,0.5,2668
"128",2,0,0.6,2668
"129",2,0,0.7,2668
"130",2,0,0.8,2668
"131",2,0,0.9,2668
"132",2,0,1,2668
"133",2,0.1,0,2668
"134",2,0.1,0.1,2638
"135",2,0.1,0.2,2609
"136",2,0.1,0.3,2580
"137",2,0.1,0.4,2550
"138",2,0.1,0.5,2521
"139",2,0.1,0.6,2492
"140",2,0.1,0.7,2462
"141",2,0.1,0.8,2433
"142",2,0.1,0.9,2404
"143",2,0.1,1,2374
"144",2,0.2,0,2668
"145",2,0.2,0.1,2609
"146",2,0.2,0.2,2551
"147",2,0.2,0.3,2493
"148",2,0.2,0.4,2435
"149",2,0.2,0.5,2377
"150",2,0.2,0.6,2319
"151",2,0.2,0.7,2261
"152",2,0.2,0.8,2204
"153",2,0.2,0.9,2147
"154",2,0.2,1,2090
"155",2,0.3,0,2668
"156",2,0.3,0.1,2580
"157",2,0.3,0.2,2493
"158",2,0.3,0.3,2406
"159",2,0.3,0.4,2320
"160",2,0.3,0.5,2235
"161",2,0.3,0.6,2150
"162",2,0.3,0.7,2065
"163",2,0.3,0.8,1981
"164",2,0.3,0.9,1897
"165",2,0.3,1,1814
"166",2,0.4,0,2668
"167",2,0.4,0.1,2551
"168",2,0.4,0.2,2435
"169",2,0.4,0.3,2321
"170",2,0.4,0.4,2207
"171",2,0.4,0.5,2095
"172",2,0.4,0.6,1983
"173",2,0.4,0.7,1873
"174",2,0.4,0.8,1764
"175",2,0.4,0.9,1655
"176",2,0.4,1,1548
"177",2,0.5,0,2668
"178",2,0.5,0.1,2522
"179",2,0.5,0.2,2378
"180",2,0.5,0.3,2236
"181",2,0.5,0.4,2096
"182",2,0.5,0.5,1957
"183",2,0.5,0.6,1820
"184",2,0.5,0.7,1685
"185",2,0.5,0.8,1552
"186",2,0.5,0.9,1420
"187",2,0.5,1,1290
"188",2,0.6,0,2668
"189",2,0.6,0.1,2493
"190",2,0.6,0.2,2321
"191",2,0.6,0.3,2152
"192",2,0.6,0.4,1986
"193",2,0.6,0.5,1822
"194",2,0.6,0.6,1660
"195",2,0.6,0.7,1502
"196",2,0.6,0.8,1345
"197",2,0.6,0.9,1192
"198",2,0.6,1,1041
"199",2,0.7,0,2668
"200",2,0.7,0.1,2464
"201",2,0.7,0.2,2265
"202",2,0.7,0.3,2069
"203",2,0.7,0.4,1877
"204",2,0.7,0.5,1688
"205",2,0.7,0.6,1503
"206",2,0.7,0.7,1322
"207",2,0.7,0.8,1144
"208",2,0.7,0.9,970
"209",2,0.7,1,800
"210",2,0.8,0,2668
"211",2,0.8,0.1,2436
"212",2,0.8,0.2,2209
"213",2,0.8,0.3,1987
"214",2,0.8,0.4,1770
"215",2,0.8,0.5,1557
"216",2,0.8,0.6,1350
"217",2,0.8,0.7,1147
"218",2,0.8,0.8,949
"219",2,0.8,0.9,756
"220",2,0.8,1,567
"221",2,0.9,0,2668
"222",2,0.9,0.1,2407
"223",2,0.9,0.2,2153
"224",2,0.9,0.3,1905
"225",2,0.9,0.4,1664
"226",2,0.9,0.5,1428
"227",2,0.9,0.6,1199
"228",2,0.9,0.7,976
"229",2,0.9,0.8,759
"230",2,0.9,0.9,548
"231",2,0.9,1,343
"232",2,1,0,2668
