"","year","vacc_coverage","vacc_efficacy","no_int_cases_cum","with_int_baseline_cases_cum"
"1",1,0.1,0.1,74766,74072
"2",2,0.1,0.1,149532,148159
"3",3,0.1,0.1,224298,222280
"4",4,0.1,0.1,299064,296436
"5",5,0.1,0.1,373830,370625
"6",1,0.1,0.2,74766,73376
"7",2,0.1,0.2,149532,146781
"8",3,0.1,0.2,224298,220253
"9",4,0.1,0.2,299064,293793
"10",5,0.1,0.2,373830,367399
"11",1,0.1,0.3,74766,72678
"12",2,0.1,0.3,149532,145398
"13",3,0.1,0.3,224298,218217
"14",4,0.1,0.3,299064,291137
"15",5,0.1,0.3,373830,364155
"16",1,0.1,0.4,74766,71979
"17",2,0.1,0.4,149532,144010
"18",3,0.1,0.4,224298,216170
"19",4,0.1,0.4,299064,288464
"20",5,0.1,0.4,373830,360887
"21",1,0.1,0.5,74766,71277
"22",2,0.1,0.5,149532,142615
"23",3,0.1,0.5,224298,214113
"24",4,0.1,0.5,299064,285776
"25",5,0.1,0.5,373830,357599
"26",1,0.1,0.6,74766,70574
"27",2,0.1,0.6,149532,141215
"28",3,0.1,0.6,224298,212045
"29",4,0.1,0.6,299064,283071
"30",5,0.1,0.6,373830,354288
"31",1,0.1,0.7,74766,69869
"32",2,0.1,0.7,149532,139810
"33",3,0.1,0.7,224298,209968
"34",4,0.1,0.7,299064,280352
"35",5,0.1,0.7,373830,350957
"36",1,0.1,0.8,74766,69162
"37",2,0.1,0.8,149532,138399
"38",3,0.1,0.8,224298,207880
"39",4,0.1,0.8,299064,277617
"40",5,0.1,0.8,373830,347604
"41",1,0.1,0.9,74766,68452
"42",2,0.1,0.9,149532,136982
"43",3,0.1,0.9,224298,205782
"44",4,0.1,0.9,299064,274866
"45",5,0.1,0.9,373830,344228
"46",1,0.1,1,74766,67741
"47",2,0.1,1,149532,135559
"48",3,0.1,1,224298,203672
"49",4,0.1,1,299064,272098
"50",5,0.1,1,373830,340829
"51",1,0.2,0.1,74766,73378
"52",2,0.2,0.1,149532,146787
"53",3,0.2,0.1,224298,220264
"54",4,0.2,0.1,299064,293809
"55",5,0.2,0.1,373830,367421
"56",1,0.2,0.2,74766,71987
"57",2,0.2,0.2,149532,144032
"58",3,0.2,0.2,224298,216211
"59",4,0.2,0.2,299064,288526
"60",5,0.2,0.2,373830,360973
"61",1,0.2,0.3,74766,70591
"62",2,0.2,0.3,149532,141265
"63",3,0.2,0.3,224298,212137
"64",4,0.2,0.3,299064,283211
"65",5,0.2,0.3,373830,354481
"66",1,0.2,0.4,74766,69192
"67",2,0.2,0.4,149532,138488
"68",3,0.2,0.4,224298,208044
"69",4,0.2,0.4,299064,277867
"70",5,0.2,0.4,373830,347948
"71",1,0.2,0.5,74766,67789
"72",2,0.2,0.5,149532,135700
"73",3,0.2,0.5,224298,203930
"74",4,0.2,0.5,299064,272491
"75",5,0.2,0.5,373830,341372
"76",1,0.2,0.6,74766,66383
"77",2,0.2,0.6,149532,132901
"78",3,0.2,0.6,224298,199797
"79",4,0.2,0.6,299064,267085
"80",5,0.2,0.6,373830,334754
"81",1,0.2,0.7,74766,64972
"82",2,0.2,0.7,149532,130090
"83",3,0.2,0.7,224298,195642
"84",4,0.2,0.7,299064,261646
"85",5,0.2,0.7,373830,328091
"86",1,0.2,0.8,74766,63558
"87",2,0.2,0.8,149532,127269
"88",3,0.2,0.8,224298,191468
"89",4,0.2,0.8,299064,256178
"90",5,0.2,0.8,373830,321387
"91",1,0.2,0.9,74766,62139
"92",2,0.2,0.9,149532,124435
"93",3,0.2,0.9,224298,187271
"94",4,0.2,0.9,299064,250676
"95",5,0.2,0.9,373830,314636
"96",1,0.2,1,74766,60717
"97",2,0.2,1,149532,121591
"98",3,0.2,1,224298,183055
"99",4,0.2,1,299064,245143
"100",5,0.2,1,373830,307843
"101",1,0.3,0.1,74766,72684
"102",2,0.3,0.1,149532,145415
"103",3,0.3,0.1,224298,218247
"104",4,0.3,0.1,299064,291182
"105",5,0.3,0.1,373830,364217
"106",1,0.3,0.2,74766,70597
"107",2,0.3,0.2,149532,141282
"108",3,0.3,0.2,224298,212167
"109",4,0.3,0.2,299064,283257
"110",5,0.3,0.2,373830,354544
"111",1,0.3,0.3,74766,68504
"112",2,0.3,0.3,149532,137133
"113",3,0.3,0.3,224298,206058
"114",4,0.3,0.3,299064,275287
"115",5,0.3,0.3,373830,344809
"116",1,0.3,0.4,74766,66406
"117",2,0.3,0.4,149532,132968
"118",3,0.3,0.4,224298,199919
"119",4,0.3,0.4,299064,267271
"120",5,0.3,0.4,373830,335011
"121",1,0.3,0.5,74766,64301
"122",2,0.3,0.5,149532,128785
"123",3,0.3,0.5,224298,193749
"124",4,0.3,0.5,299064,259208
"125",5,0.3,0.5,373830,325148
"126",1,0.3,0.6,74766,62191
"127",2,0.3,0.6,149532,124586
"128",3,0.3,0.6,224298,187548
"129",4,0.3,0.6,299064,251099
"130",5,0.3,0.6,373830,315221
"131",1,0.3,0.7,74766,60076
"132",2,0.3,0.7,149532,120372
"133",3,0.3,0.7,224298,181319
"134",4,0.3,0.7,299064,242945
"135",5,0.3,0.7,373830,305232
"136",1,0.3,0.8,74766,57954
"137",2,0.3,0.8,149532,116139
"138",3,0.3,0.8,224298,175057
"139",4,0.3,0.8,299064,234742
"140",5,0.3,0.8,373830,295175
"141",1,0.3,0.9,74766,55827
"142",2,0.3,0.9,149532,111891
"143",3,0.3,0.9,224298,168766
"144",4,0.3,0.9,299064,226493
"145",5,0.3,0.9,373830,285054
"146",1,0.3,1,74766,53693
"147",2,0.3,1,149532,107624
"148",3,0.3,1,224298,162441
"149",4,0.3,1,299064,218194
"150",5,0.3,1,373830,274864
"151",1,0.4,0.1,74766,71990
"152",2,0.4,0.1,149532,144042
"153",3,0.4,0.1,224298,216230
"154",4,0.4,0.1,299064,288555
"155",5,0.4,0.1,373830,361013
"156",1,0.4,0.2,74766,69208
"157",2,0.4,0.2,149532,138533
"158",3,0.4,0.2,224298,208125
"159",4,0.4,0.2,299064,277990
"160",5,0.4,0.2,373830,348118
"161",1,0.4,0.3,74766,66417
"162",2,0.4,0.3,149532,133001
"163",3,0.4,0.3,224298,199980
"164",4,0.4,0.3,299064,267363
"165",5,0.4,0.3,373830,335138
"166",1,0.4,0.4,74766,63619
"167",2,0.4,0.4,149532,127447
"168",3,0.4,0.4,224298,191794
"169",4,0.4,0.4,299064,256675
"170",5,0.4,0.4,373830,322074
"171",1,0.4,0.5,74766,60814
"172",2,0.4,0.5,149532,121872
"173",3,0.4,0.5,224298,183570
"174",4,0.4,0.5,299064,245928
"175",5,0.4,0.5,373830,308927
"176",1,0.4,0.6,74766,58000
"177",2,0.4,0.6,149532,116274
"178",3,0.4,0.6,224298,175304
"179",4,0.4,0.6,299064,235118
"180",5,0.4,0.6,373830,295694
"181",1,0.4,0.7,74766,55180
"182",2,0.4,0.7,149532,110655
"183",3,0.4,0.7,224298,166999
"184",4,0.4,0.7,299064,224248
"185",5,0.4,0.7,373830,282377
"186",1,0.4,0.8,74766,52351
"187",2,0.4,0.8,149532,105013
"188",3,0.4,0.8,224298,158652
"189",4,0.4,0.8,299064,213313
"190",5,0.4,0.8,373830,268972
"191",1,0.4,0.9,74766,49515
"192",2,0.4,0.9,149532,99349
"193",3,0.4,0.9,224298,150265
"194",4,0.4,0.9,299064,202318
"195",5,0.4,0.9,373830,255481
"196",1,0.4,1,74766,46671
"197",2,0.4,1,149532,93663
"198",3,0.4,1,224298,141836
"199",4,0.4,1,299064,191258
"200",5,0.4,1,373830,241902
"201",1,0.5,0.1,74766,71297
"202",2,0.5,0.1,149532,142671
"203",3,0.5,0.1,224298,214214
"204",4,0.5,0.1,299064,285929
"205",5,0.5,0.1,373830,357810
"206",1,0.5,0.2,74766,67818
"207",2,0.5,0.2,149532,135783
"208",3,0.5,0.2,224298,204082
"209",4,0.5,0.2,299064,272722
"210",5,0.5,0.2,373830,341691
"211",1,0.5,0.3,74766,64330
"212",2,0.5,0.3,149532,128869
"213",3,0.5,0.3,224298,193902
"214",4,0.5,0.3,299064,259440
"215",5,0.5,0.3,373830,325468
"216",1,0.5,0.4,74766,60833
"217",2,0.5,0.4,149532,121928
"218",3,0.5,0.4,224298,183672
"219",4,0.5,0.4,299064,246083
"220",5,0.5,0.4,373830,309141
"221",1,0.5,0.5,74766,57326
"222",2,0.5,0.5,149532,114959
"223",3,0.5,0.5,224298,173392
"224",4,0.5,0.5,299064,232650
"225",5,0.5,0.5,373830,292709
"226",1,0.5,0.6,74766,53810
"227",2,0.5,0.6,149532,107963
"228",3,0.5,0.6,224298,163062
"229",4,0.5,0.6,299064,219141
"230",5,0.5,0.6,373830,276172
"231",1,0.5,0.7,74766,50284
"232",2,0.5,0.7,149532,100940
"233",3,0.5,0.7,224298,152682
"234",4,0.5,0.7,299064,205555
"235",5,0.5,0.7,373830,259528
"236",1,0.5,0.8,74766,46748
"237",2,0.5,0.8,149532,93888
"238",3,0.5,0.8,224298,142250
"239",4,0.5,0.8,299064,191890
"240",5,0.5,0.8,373830,242776
"241",1,0.5,0.9,74766,43203
"242",2,0.5,0.9,149532,86810
"243",3,0.5,0.9,224298,131769
"244",4,0.5,0.9,299064,178149
"245",5,0.5,0.9,373830,225917
"246",1,0.5,1,74766,39648
"247",2,0.5,1,149532,79703
"248",3,0.5,1,224298,121236
"249",4,0.5,1,299064,164329
"250",5,0.5,1,373830,208949
"251",1,0.6,0.1,74766,70603
"252",2,0.6,0.1,149532,141299
"253",3,0.6,0.1,224298,212198
"254",4,0.6,0.1,299064,283303
"255",5,0.6,0.1,373830,354607
"256",1,0.6,0.2,74766,66429
"257",2,0.6,0.2,149532,133034
"258",3,0.6,0.2,224298,200040
"259",4,0.6,0.2,299064,267455
"260",5,0.6,0.2,373830,335264
"261",1,0.6,0.3,74766,62243
"262",2,0.6,0.3,149532,124737
"263",3,0.6,0.3,224298,187824
"264",4,0.6,0.3,299064,251518
"265",5,0.6,0.3,373830,315799
"266",1,0.6,0.4,74766,58046
"267",2,0.6,0.4,149532,116408
"268",3,0.6,0.4,224298,175549
"269",4,0.6,0.4,299064,235491
"270",5,0.6,0.4,373830,296208
"271",1,0.6,0.5,74766,53838
"272",2,0.6,0.5,149532,108046
"273",3,0.6,0.5,224298,163214
"274",4,0.6,0.5,299064,219373
"275",5,0.6,0.5,373830,276493
"276",1,0.6,0.6,74766,49619
"277",2,0.6,0.6,149532,99652
"278",3,0.6,0.6,224298,150820
"279",4,0.6,0.6,299064,203164
"280",5,0.6,0.6,373830,256651
"281",1,0.6,0.7,74766,45388
"282",2,0.6,0.7,149532,91226
"283",3,0.6,0.7,224298,138367
"284",4,0.6,0.7,299064,186865
"285",5,0.6,0.7,373830,236684
"286",1,0.6,0.8,74766,41146
"287",2,0.6,0.8,149532,82766
"288",3,0.6,0.8,224298,125853
"289",4,0.6,0.8,299064,170473
"290",5,0.6,0.8,373830,216588
"291",1,0.6,0.9,74766,36892
"292",2,0.6,0.9,149532,74274
"293",3,0.6,0.9,224298,113279
"294",4,0.6,0.9,299064,153989
"295",5,0.6,0.9,373830,196365
"296",1,0.6,1,74766,32627
"297",2,0.6,1,149532,65748
"298",3,0.6,1,224298,100644
"299",4,0.6,1,299064,137412
"300",5,0.6,1,373830,176012
"301",1,0.7,0.1,74766,69909
"302",2,0.7,0.1,149532,139927
"303",3,0.7,0.1,224298,210182
"304",4,0.7,0.1,299064,280677
"305",5,0.7,0.1,373830,351405
"306",1,0.7,0.2,74766,65039
"307",2,0.7,0.2,149532,130285
"308",3,0.7,0.2,224298,195998
"309",4,0.7,0.2,299064,262188
"310",5,0.7,0.2,373830,328838
"311",1,0.7,0.3,74766,60156
"312",2,0.7,0.3,149532,120605
"313",3,0.7,0.3,224298,181746
"314",4,0.7,0.3,299064,243595
"315",5,0.7,0.3,373830,306129
"316",1,0.7,0.4,74766,55260
