"","percent_reduction","scenario"
"1",1.1,"Scenario 6 (small hospital population size)"
"2",1.1,"Scenario 6 (small hospital population size)"
"3",2.2,"Scenario 6 (small hospital population size)"
"4",2.2,"Scenario 6 (small hospital population size)"
"5",3.4,"Scenario 6 (small hospital population size)"
"6",3.4,"Scenario 6 (small hospital population size)"
"7",4.5,"Scenario 6 (small hospital population size)"
"8",4.5,"Scenario 6 (small hospital population size)"
"9",5.6,"Scenario 6 (small hospital population size)"
"10",5.6,"Scenario 6 (small hospital population size)"
"11",6.7,"Scenario 6 (small hospital population size)"
"12",6.7,"Scenario 6 (small hospital population size)"
"13",7.8,"Scenario 6 (small hospital population size)"
"14",7.8,"Scenario 6 (small hospital population size)"
"15",8.9,"Scenario 6 (small hospital population size)"
"16",8.9,"Scenario 6 (small hospital population size)"
"17",10.1,"Scenario 6 (small hospital population size)"
"18",10.1,"Scenario 6 (small hospital population size)"
"19",11.2,"Scenario 6 (small hospital population size)"
"20",11.2,"Scenario 6 (small hospital population size)"
"21",2.2,"Scenario 6 (small hospital population size)"
"22",2.2,"Scenario 6 (small hospital population size)"
"23",4.5,"Scenario 6 (small hospital population size)"
"24",4.5,"Scenario 6 (small hospital population size)"
"25",6.7,"Scenario 6 (small hospital population size)"
"26",6.7,"Scenario 6 (small hospital population size)"
"27",8.9,"Scenario 6 (small hospital population size)"
"28",8.9,"Scenario 6 (small hospital population size)"
"29",11.1,"Scenario 6 (small hospital population size)"
"30",11.1,"Scenario 6 (small hospital population size)"
"31",13.3,"Scenario 6 (small hospital population size)"
"32",13.3,"Scenario 6 (small hospital population size)"
"33",15.4,"Scenario 6 (small hospital population size)"
"34",15.4,"Scenario 6 (small hospital population size)"
"35",17.6,"Scenario 6 (small hospital population size)"
"36",17.6,"Scenario 6 (small hospital population size)"
"37",19.8,"Scenario 6 (small hospital population size)"
"38",19.8,"Scenario 6 (small hospital population size)"
"39",21.9,"Scenario 6 (small hospital population size)"
"40",21.9,"Scenario 6 (small hospital population size)"
"41",3.4,"Scenario 6 (small hospital population size)"
"42",3.4,"Scenario 6 (small hospital population size)"
"43",6.7,"Scenario 6 (small hospital population size)"
"44",6.7,"Scenario 6 (small hospital population size)"
"45",10,"Scenario 6 (small hospital population size)"
"46",10,"Scenario 6 (small hospital population size)"
"47",13.2,"Scenario 6 (small hospital population size)"
"48",13.2,"Scenario 6 (small hospital population size)"
"49",16.5,"Scenario 6 (small hospital population size)"
"50",16.5,"Scenario 6 (small hospital population size)"
"51",19.7,"Scenario 6 (small hospital population size)"
"52",19.7,"Scenario 6 (small hospital population size)"
"53",22.8,"Scenario 6 (small hospital population size)"
"54",22.8,"Scenario 6 (small hospital population size)"
"55",26,"Scenario 6 (small hospital population size)"
"56",26,"Scenario 6 (small hospital population size)"
"57",29.1,"Scenario 6 (small hospital population size)"
"58",29.1,"Scenario 6 (small hospital population size)"
"59",32.2,"Scenario 6 (small hospital population size)"
"60",32.2,"Scenario 6 (small hospital population size)"
"61",4.5,"Scenario 6 (small hospital population size)"
"62",4.5,"Scenario 6 (small hospital population size)"
"63",8.9,"Scenario 6 (small hospital population size)"
"64",8.9,"Scenario 6 (small hospital population size)"
"65",13.2,"Scenario 6 (small hospital population size)"
"66",13.2,"Scenario 6 (small hospital population size)"
"67",17.5,"Scenario 6 (small hospital population size)"
"68",17.5,"Scenario 6 (small hospital population size)"
"69",21.7,"Scenario 6 (small hospital population size)"
"70",21.7,"Scenario 6 (small hospital population size)"
"71",25.9,"Scenario 6 (small hospital population size)"
"72",25.9,"Scenario 6 (small hospital population size)"
"73",30,"Scenario 6 (small hospital population size)"
"74",30,"Scenario 6 (small hospital population size)"
"75",34.1,"Scenario 6 (small hospital population size)"
"76",34.1,"Scenario 6 (small hospital population size)"
"77",38.1,"Scenario 6 (small hospital population size)"
"78",38.1,"Scenario 6 (small hospital population size)"
"79",42.1,"Scenario 6 (small hospital population size)"
"80",42.1,"Scenario 6 (small hospital population size)"
"81",5.6,"Scenario 6 (small hospital population size)"
"82",5.6,"Scenario 6 (small hospital population size)"
"83",5.6,"Scenario 6 (small hospital population size)"
"84",11,"Scenario 6 (small hospital population size)"
"85",11,"Scenario 6 (small hospital population size)"
"86",11,"Scenario 6 (small hospital population size)"
"87",16.4,"Scenario 6 (small hospital population size)"
"88",16.4,"Scenario 6 (small hospital population size)"
"89",16.4,"Scenario 6 (small hospital population size)"
"90",21.7,"Scenario 6 (small hospital population size)"
"91",21.7,"Scenario 6 (small hospital population size)"
