"","num_vacc_per_case","scenario"
"1",7355,"Scenario 6 (small hospital population size)"
"2",7355,"Scenario 6 (small hospital population size)"
"3",3653,"Scenario 6 (small hospital population size)"
"4",3653,"Scenario 6 (small hospital population size)"
"5",2435,"Scenario 6 (small hospital population size)"
"6",2435,"Scenario 6 (small hospital population size)"
"7",1826,"Scenario 6 (small hospital population size)"
"8",1826,"Scenario 6 (small hospital population size)"
"9",1459,"Scenario 6 (small hospital population size)"
"10",1459,"Scenario 6 (small hospital population size)"
"11",1218,"Scenario 6 (small hospital population size)"
"12",1218,"Scenario 6 (small hospital population size)"
"13",1045,"Scenario 6 (small hospital population size)"
"14",1045,"Scenario 6 (small hospital population size)"
"15",915,"Scenario 6 (small hospital population size)"
"16",915,"Scenario 6 (small hospital population size)"
"17",812,"Scenario 6 (small hospital population size)"
"18",812,"Scenario 6 (small hospital population size)"
"19",732,"Scenario 6 (small hospital population size)"
"20",732,"Scenario 6 (small hospital population size)"
"21",7305,"Scenario 6 (small hospital population size)"
"22",7305,"Scenario 6 (small hospital population size)"
"23",3665,"Scenario 6 (small hospital population size)"
"24",3665,"Scenario 6 (small hospital population size)"
"25",2449,"Scenario 6 (small hospital population size)"
"26",2449,"Scenario 6 (small hospital population size)"
"27",1842,"Scenario 6 (small hospital population size)"
"28",1842,"Scenario 6 (small hospital population size)"
"29",1475,"Scenario 6 (small hospital population size)"
"30",1475,"Scenario 6 (small hospital population size)"
"31",1233,"Scenario 6 (small hospital population size)"
"32",1233,"Scenario 6 (small hospital population size)"
"33",1060,"Scenario 6 (small hospital population size)"
"34",1060,"Scenario 6 (small hospital population size)"
"35",929,"Scenario 6 (small hospital population size)"
"36",929,"Scenario 6 (small hospital population size)"
"37",828,"Scenario 6 (small hospital population size)"
"38",828,"Scenario 6 (small hospital population size)"
"39",747,"Scenario 6 (small hospital population size)"
"40",747,"Scenario 6 (small hospital population size)"
"41",7322,"Scenario 6 (small hospital population size)"
"42",7322,"Scenario 6 (small hospital population size)"
"43",3686,"Scenario 6 (small hospital population size)"
"44",3686,"Scenario 6 (small hospital population size)"
"45",2467,"Scenario 6 (small hospital population size)"
"46",2467,"Scenario 6 (small hospital population size)"
"47",1857,"Scenario 6 (small hospital population size)"
"48",1857,"Scenario 6 (small hospital population size)"
"49",1491,"Scenario 6 (small hospital population size)"
"50",1491,"Scenario 6 (small hospital population size)"
"51",1248,"Scenario 6 (small hospital population size)"
"52",1248,"Scenario 6 (small hospital population size)"
"53",1074,"Scenario 6 (small hospital population size)"
"54",1074,"Scenario 6 (small hospital population size)"
"55",944,"Scenario 6 (small hospital population size)"
"56",944,"Scenario 6 (small hospital population size)"
"57",842,"Scenario 6 (small hospital population size)"
"58",842,"Scenario 6 (small hospital population size)"
"59",762,"Scenario 6 (small hospital population size)"
"60",762,"Scenario 6 (small hospital population size)"
"61",7330,"Scenario 6 (small hospital population size)"
"62",7330,"Scenario 6 (small hospital population size)"
"63",3697,"Scenario 6 (small hospital population size)"
"64",3697,"Scenario 6 (small hospital population size)"
"65",2480,"Scenario 6 (small hospital population size)"
"66",2480,"Scenario 6 (small hospital population size)"
"67",1872,"Scenario 6 (small hospital population size)"
"68",1872,"Scenario 6 (small hospital population size)"
"69",1506,"Scenario 6 (small hospital population size)"
"70",1506,"Scenario 6 (small hospital population size)"
"71",1263,"Scenario 6 (small hospital population size)"
"72",1263,"Scenario 6 (small hospital population size)"
"73",1089,"Scenario 6 (small hospital population size)"
"74",1089,"Scenario 6 (small hospital population size)"
"75",959,"Scenario 6 (small hospital population size)"
"76",959,"Scenario 6 (small hospital population size)"
"77",858,"Scenario 6 (small hospital population size)"
"78",858,"Scenario 6 (small hospital population size)"
"79",777,"Scenario 6 (small hospital population size)"
"80",777,"Scenario 6 (small hospital population size)"
"81",7365,"Scenario 6 (small hospital population size)"
"82",7365,"Scenario 6 (small hospital population size)"
"83",7365,"Scenario 6 (small hospital population size)"
"84",3711,"Scenario 6 (small hospital population size)"
"85",3711,"Scenario 6 (small hospital population size)"
"86",3711,"Scenario 6 (small hospital population size)"
"87",2495,"Scenario 6 (small hospital population size)"
"88",2495,"Scenario 6 (small hospital population size)"
"89",2495,"Scenario 6 (small hospital population size)"
"90",1885,"Scenario 6 (small hospital population size)"
"91",1885,"Scenario 6 (small hospital population size)"
"92",1885,"Scenario 6 (small hospital population size)"
"93",1521,"Scenario 6 (small hospital population size)"
"94",1521,"Scenario 6 (small hospital population size)"
"95",1521,"Scenario 6 (small hospital population size)"
"96",1278,"Scenario 6 (small hospital population size)"
"97",1278,"Scenario 6 (small hospital population size)"
"98",1278,"Scenario 6 (small hospital population size)"
"99",1105,"Scenario 6 (small hospital population size)"
"100",1105,"Scenario 6 (small hospital population size)"
"101",1105,"Scenario 6 (small hospital population size)"
"102",975,"Scenario 6 (small hospital population size)"
"103",975,"Scenario 6 (small hospital population size)"
"104",975,"Scenario 6 (small hospital population size)"
"105",874,"Scenario 6 (small hospital population size)"
"106",874,"Scenario 6 (small hospital population size)"
"107",874,"Scenario 6 (small hospital population size)"
"108",794,"Scenario 6 (small hospital population size)"
"109",794,"Scenario 6 (small hospital population size)"
"110",794,"Scenario 6 (small hospital population size)"
"111",7380,"Scenario 6 (small hospital population size)"
"112",7380,"Scenario 6 (small hospital population size)"
"113",7380,"Scenario 6 (small hospital population size)"
"114",7380,"Scenario 6 (small hospital population size)"
"115",3724,"Scenario 6 (small hospital population size)"
"116",3724,"Scenario 6 (small hospital population size)"
"117",3724,"Scenario 6 (small hospital population size)"
"118",3724,"Scenario 6 (small hospital population size)"
"119",2510,"Scenario 6 (small hospital population size)"
"120",2510,"Scenario 6 (small hospital population size)"
"121",2510,"Scenario 6 (small hospital population size)"
"122",2510,"Scenario 6 (small hospital population size)"
