"","num_vacc_per_case","scenario"
"1",330,"Scenario 7 (large hospital population size)"
"2",330,"Scenario 7 (large hospital population size)"
"3",330,"Scenario 7 (large hospital population size)"
"4",330,"Scenario 7 (large hospital population size)"
"5",330,"Scenario 7 (large hospital population size)"
"6",330,"Scenario 7 (large hospital population size)"
"7",330,"Scenario 7 (large hospital population size)"
"8",330,"Scenario 7 (large hospital population size)"
"9",330,"Scenario 7 (large hospital population size)"
"10",330,"Scenario 7 (large hospital population size)"
"11",330,"Scenario 7 (large hospital population size)"
"12",164,"Scenario 7 (large hospital population size)"
"13",164,"Scenario 7 (large hospital population size)"
"14",164,"Scenario 7 (large hospital population size)"
"15",164,"Scenario 7 (large hospital population size)"
"16",164,"Scenario 7 (large hospital population size)"
"17",164,"Scenario 7 (large hospital population size)"
"18",164,"Scenario 7 (large hospital population size)"
"19",164,"Scenario 7 (large hospital population size)"
"20",164,"Scenario 7 (large hospital population size)"
"21",164,"Scenario 7 (large hospital population size)"
"22",164,"Scenario 7 (large hospital population size)"
"23",109,"Scenario 7 (large hospital population size)"
"24",109,"Scenario 7 (large hospital population size)"
"25",109,"Scenario 7 (large hospital population size)"
"26",109,"Scenario 7 (large hospital population size)"
"27",109,"Scenario 7 (large hospital population size)"
"28",109,"Scenario 7 (large hospital population size)"
"29",109,"Scenario 7 (large hospital population size)"
"30",109,"Scenario 7 (large hospital population size)"
"31",109,"Scenario 7 (large hospital population size)"
"32",109,"Scenario 7 (large hospital population size)"
"33",109,"Scenario 7 (large hospital population size)"
"34",82,"Scenario 7 (large hospital population size)"
"35",82,"Scenario 7 (large hospital population size)"
"36",82,"Scenario 7 (large hospital population size)"
"37",82,"Scenario 7 (large hospital population size)"
"38",82,"Scenario 7 (large hospital population size)"
"39",82,"Scenario 7 (large hospital population size)"
"40",82,"Scenario 7 (large hospital population size)"
"41",82,"Scenario 7 (large hospital population size)"
"42",82,"Scenario 7 (large hospital population size)"
"43",82,"Scenario 7 (large hospital population size)"
"44",82,"Scenario 7 (large hospital population size)"
"45",65,"Scenario 7 (large hospital population size)"
"46",65,"Scenario 7 (large hospital population size)"
"47",65,"Scenario 7 (large hospital population size)"
"48",65,"Scenario 7 (large hospital population size)"
"49",65,"Scenario 7 (large hospital population size)"
"50",65,"Scenario 7 (large hospital population size)"
"51",65,"Scenario 7 (large hospital population size)"
"52",65,"Scenario 7 (large hospital population size)"
"53",65,"Scenario 7 (large hospital population size)"
"54",65,"Scenario 7 (large hospital population size)"
"55",65,"Scenario 7 (large hospital population size)"
"56",54,"Scenario 7 (large hospital population size)"
"57",54,"Scenario 7 (large hospital population size)"
"58",54,"Scenario 7 (large hospital population size)"
"59",54,"Scenario 7 (large hospital population size)"
"60",54,"Scenario 7 (large hospital population size)"
"61",54,"Scenario 7 (large hospital population size)"
"62",54,"Scenario 7 (large hospital population size)"
"63",54,"Scenario 7 (large hospital population size)"
"64",54,"Scenario 7 (large hospital population size)"
"65",54,"Scenario 7 (large hospital population size)"
"66",54,"Scenario 7 (large hospital population size)"
"67",46,"Scenario 7 (large hospital population size)"
