"","year","vacc_coverage","vacc_efficacy","no_int_cases_cum","with_int_baseline_cases_cum"
"1",1,0.1,0.1,27839,27575
"2",2,0.1,0.1,55678,55155
"3",3,0.1,0.1,83517,82747
"4",4,0.1,0.1,111356,110351
"5",5,0.1,0.1,139195,137967
"6",1,0.1,0.2,27839,27310
"7",2,0.1,0.2,55678,54631
"8",3,0.1,0.2,83517,81975
"9",4,0.1,0.2,111356,109343
"10",5,0.1,0.2,139195,136735
"11",1,0.1,0.3,27839,27046
"12",2,0.1,0.3,55678,54106
"13",3,0.1,0.3,83517,81201
"14",4,0.1,0.3,111356,108332
"15",5,0.1,0.3,139195,135499
"16",1,0.1,0.4,27839,26780
"17",2,0.1,0.4,55678,53579
"18",3,0.1,0.4,83517,80424
"19",4,0.1,0.4,111356,107317
"20",5,0.1,0.4,139195,134257
"21",1,0.1,0.5,27839,26514
"22",2,0.1,0.5,55678,53051
"23",3,0.1,0.5,83517,79645
"24",4,0.1,0.5,111356,106299
"25",5,0.1,0.5,139195,133011
"26",1,0.1,0.6,27839,26248
"27",2,0.1,0.6,55678,52521
"28",3,0.1,0.6,83517,78862
"29",4,0.1,0.6,111356,105275
"30",5,0.1,0.6,139195,131758
"31",1,0.1,0.7,27839,25980
"32",2,0.1,0.7,55678,51989
"33",3,0.1,0.7,83517,78077
"34",4,0.1,0.7,111356,104248
"35",5,0.1,0.7,139195,130500
"36",1,0.1,0.8,27839,25713
"37",2,0.1,0.8,55678,51457
"38",3,0.1,0.8,83517,77290
"39",4,0.1,0.8,111356,103217
"40",5,0.1,0.8,139195,129237
"41",1,0.1,0.9,27839,25445
"42",2,0.1,0.9,55678,50922
"43",3,0.1,0.9,83517,76499
"44",4,0.1,0.9,111356,102181
"45",5,0.1,0.9,139195,127967
"46",1,0.1,1,27839,25176
"47",2,0.1,1,55678,50386
"48",3,0.1,1,83517,75705
"49",4,0.1,1,111356,101141
"50",5,0.1,1,139195,126693
"51",1,0.2,0.1,27839,27311
"52",2,0.2,0.1,55678,54633
"53",3,0.2,0.1,83517,81978
"54",4,0.2,0.1,111356,109348
"55",5,0.2,0.1,139195,136741
"56",1,0.2,0.2,27839,26782
"57",2,0.2,0.2,55678,53585
"58",3,0.2,0.2,83517,80435
"59",4,0.2,0.2,111356,107333
"60",5,0.2,0.2,139195,134278
"61",1,0.2,0.3,27839,26253
"62",2,0.2,0.3,55678,52535
"63",3,0.2,0.3,83517,78887
"64",4,0.2,0.3,111356,105311
"65",5,0.2,0.3,139195,131806
"66",1,0.2,0.4,27839,25722
"67",2,0.2,0.4,55678,51482
"68",3,0.2,0.4,83517,77334
"69",4,0.2,0.4,111356,103282
"70",5,0.2,0.4,139195,129324
"71",1,0.2,0.5,27839,25190
"72",2,0.2,0.5,55678,50425
"73",3,0.2,0.5,83517,75774
"74",4,0.2,0.5,111356,101243
"75",5,0.2,0.5,139195,126829
"76",1,0.2,0.6,27839,24657
"77",2,0.2,0.6,55678,49365
"78",3,0.2,0.6,83517,74209
"79",4,0.2,0.6,111356,99196
"80",5,0.2,0.6,139195,124323
"81",1,0.2,0.7,27839,24123
"82",2,0.2,0.7,55678,48303
"83",3,0.2,0.7,83517,72640
"84",4,0.2,0.7,111356,97143
"85",5,0.2,0.7,139195,121809
"86",1,0.2,0.8,27839,23587
"87",2,0.2,0.8,55678,47236
"88",3,0.2,0.8,83517,71064
"89",4,0.2,0.8,111356,95080
"90",5,0.2,0.8,139195,119282
"91",1,0.2,0.9,27839,23051
"92",2,0.2,0.9,55678,46168
"93",3,0.2,0.9,83517,69484
"94",4,0.2,0.9,111356,93011
"95",5,0.2,0.9,139195,116746
"96",1,0.2,1,27839,22514
"97",2,0.2,1,55678,45097
"98",3,0.2,1,83517,67899
"99",4,0.2,1,111356,90934
"100",5,0.2,1,139195,114200
"101",1,0.3,0.1,27839,27047
"102",2,0.3,0.1,55678,54110
"103",3,0.3,0.1,83517,81209
"104",4,0.3,0.1,111356,108344
"105",5,0.3,0.1,139195,135515
"106",1,0.3,0.2,27839,26254
"107",2,0.3,0.2,55678,52539
"108",3,0.3,0.2,83517,78894
"109",4,0.3,0.2,111356,105322
"110",5,0.3,0.2,139195,131821
"111",1,0.3,0.3,27839,25460
"112",2,0.3,0.3,55678,50964
"113",3,0.3,0.3,83517,76573
"114",4,0.3,0.3,111356,102290
"115",5,0.3,0.3,139195,128113
"116",1,0.3,0.4,27839,24663
