"","year","vacc_coverage","vacc_efficacy","percent_hosp","total_cases"
"1",81,0,0,0.004,2625
"2",81,0,0,0.008,15545
"3",81,0,0,0.012,33310
"4",81,0,0,0.016,53454
"5",81,0,0,0.02,74766
"6",81,0,0.7,0.004,2625
"7",81,0,0.7,0.008,15545
"8",81,0,0.7,0.012,33310
"9",81,0,0.7,0.016,53454
"10",81,0,0.7,0.02,74766
"11",81,0.7,0,0.004,2625
"12",81,0.7,0,0.008,15545
"13",81,0.7,0,0.012,33310
"14",81,0.7,0,0.016,53454
"15",81,0.7,0,0.02,74766
"16",81,0.7,0.7,0.004,1345
"17",81,0.7,0.7,0.008,8205
"18",81,0.7,0.7,0.012,17781
"19",81,0.7,0.7,0.016,28737
"20",81,0.7,0.7,0.02,40415
"21",82,0,0,0.004,2625
"22",82,0,0,0.008,15545
"23",82,0,0,0.012,33310
"24",82,0,0,0.016,53454
"25",82,0,0,0.02,74766
"26",82,0,0.7,0.004,2625
"27",82,0,0.7,0.008,15545
"28",82,0,0.7,0.012,33310
"29",82,0,0.7,0.016,53454
"30",82,0,0.7,0.02,74766
"31",82,0.7,0,0.004,2625
"32",82,0.7,0,0.008,15545
"33",82,0.7,0,0.012,33310
"34",82,0.7,0,0.016,53454
"35",82,0.7,0,0.02,74766
"36",82,0.7,0.7,0.004,1287
"37",82,0.7,0.7,0.008,8184
"38",82,0.7,0.7,0.012,17916
"39",82,0.7,0.7,0.016,29089
"40",82,0.7,0.7,0.02,41025
"41",83,0,0,0.004,2625
"42",83,0,0,0.008,15545
"43",83,0,0,0.012,33310
"44",83,0,0,0.016,53454
"45",83,0,0,0.02,74766
"46",83,0,0.7,0.004,2625
"47",83,0,0.7,0.008,15545
"48",83,0,0.7,0.012,33310
"49",83,0,0.7,0.016,53454
"50",83,0,0.7,0.02,74766
"51",83,0.7,0,0.004,2625
"52",83,0.7,0,0.008,15545
"53",83,0.7,0,0.012,33310
"54",83,0.7,0,0.016,53454
"55",83,0.7,0,0.02,74766
"56",83,0.7,0.7,0.004,1281
"57",83,0.7,0.7,0.008,8408
"58",83,0.7,0.7,0.012,18514
"59",83,0.7,0.7,0.016,30130
"60",83,0.7,0.7,0.02,42547
"61",84,0,0,0.004,2625
"62",84,0,0,0.008,15545
"63",84,0,0,0.012,33310
"64",84,0,0,0.016,53454
"65",84,0,0,0.02,74766
"66",84,0,0.7,0.004,2625
"67",84,0,0.7,0.008,15545
"68",84,0,0.7,0.012,33310
"69",84,0,0.7,0.016,53454
"70",84,0,0.7,0.02,74766
"71",84,0.7,0,0.004,2625
"72",84,0.7,0,0.008,15545
"73",84,0.7,0,0.012,33310
"74",84,0.7,0,0.016,53454
"75",84,0.7,0,0.02,74766
"76",84,0.7,0.7,0.004,1289
"77",84,0.7,0.7,0.008,8681
"78",84,0.7,0.7,0.012,19176
"79",84,0.7,0.7,0.016,31238
"80",84,0.7,0.7,0.02,44130
"81",85,0,0,0.004,2625
"82",85,0,0,0.008,15545
"83",85,0,0,0.012,33310
"84",85,0,0,0.016,53454
"85",85,0,0,0.02,74766
"86",85,0,0.7,0.004,2625
"87",85,0,0.7,0.008,15545
"88",85,0,0.7,0.012,33310
"89",85,0,0.7,0.016,53454
"90",85,0,0.7,0.02,74766
"91",85,0.7,0,0.004,2625
"92",85,0.7,0,0.008,15545
"93",85,0.7,0,0.012,33310
"94",85,0.7,0,0.016,53454
"95",85,0.7,0,0.02,74766
"96",85,0.7,0.7,0.004,1307
"97",85,0.7,0.7,0.008,8970
"98",85,0.7,0.7,0.012,19841
"99",85,0.7,0.7,0.016,32328
"100",85,0.7,0.7,0.02,45670
