"","year","vacc_coverage","vacc_efficacy","total_cases"
"1",1,0,0,2625
"2",1,0,0.1,2625
"3",1,0,0.2,2625
"4",1,0,0.3,2625
"5",1,0,0.4,2625
"6",1,0,0.5,2625
"7",1,0,0.6,2625
"8",1,0,0.7,2625
"9",1,0,0.8,2625
"10",1,0,0.9,2625
"11",1,0,1,2625
"12",1,0.1,0,2625
"13",1,0.1,0.1,2598
"14",1,0.1,0.2,2571
"15",1,0.1,0.3,2544
"16",1,0.1,0.4,2517
"17",1,0.1,0.5,2490
"18",1,0.1,0.6,2463
"19",1,0.1,0.7,2436
"20",1,0.1,0.8,2409
"21",1,0.1,0.9,2382
"22",1,0.1,1,2355
"23",1,0.2,0,2625
"24",1,0.2,0.1,2571
"25",1,0.2,0.2,2517
"26",1,0.2,0.3,2464
"27",1,0.2,0.4,2410
"28",1,0.2,0.5,2356
"29",1,0.2,0.6,2303
"30",1,0.2,0.7,2249
"31",1,0.2,0.8,2196
"32",1,0.2,0.9,2143
"33",1,0.2,1,2090
"34",1,0.3,0,2625
"35",1,0.3,0.1,2544
"36",1,0.3,0.2,2464
"37",1,0.3,0.3,2384
"38",1,0.3,0.4,2304
"39",1,0.3,0.5,2224
"40",1,0.3,0.6,2144
"41",1,0.3,0.7,2065
"42",1,0.3,0.8,1986
"43",1,0.3,0.9,1907
"44",1,0.3,1,1829
"45",1,0.4,0,2625
"46",1,0.4,0.1,2517
"47",1,0.4,0.2,2410
"48",1,0.4,0.3,2304
"49",1,0.4,0.4,2198
"50",1,0.4,0.5,2092
"51",1,0.4,0.6,1987
"52",1,0.4,0.7,1883
"53",1,0.4,0.8,1779
"54",1,0.4,0.9,1675
"55",1,0.4,1,1572
"56",1,0.5,0,2625
"57",1,0.5,0.1,2491
"58",1,0.5,0.2,2357
"59",1,0.5,0.3,2225
"60",1,0.5,0.4,2093
"61",1,0.5,0.5,1962
"62",1,0.5,0.6,1832
"63",1,0.5,0.7,1702
"64",1,0.5,0.8,1574
"65",1,0.5,0.9,1446
"66",1,0.5,1,1319
"67",1,0.6,0,2625
"68",1,0.6,0.1,2464
"69",1,0.6,0.2,2304
"70",1,0.6,0.3,2146
"71",1,0.6,0.4,1988
"72",1,0.6,0.5,1832
"73",1,0.6,0.6,1678
"74",1,0.6,0.7,1524
"75",1,0.6,0.8,1372
"76",1,0.6,0.9,1221
"77",1,0.6,1,1071
"78",1,0.7,0,2625
"79",1,0.7,0.1,2437
"80",1,0.7,0.2,2251
"81",1,0.7,0.3,2067
"82",1,0.7,0.4,1885
"83",1,0.7,0.5,1704
"84",1,0.7,0.6,1525
"85",1,0.7,0.7,1348
"86",1,0.7,0.8,1173
"87",1,0.7,0.9,999
"88",1,0.7,1,827
"89",1,0.8,0,2625
"90",1,0.8,0.1,2411
"91",1,0.8,0.2,2199
"92",1,0.8,0.3,1989
"93",1,0.8,0.4,1782
"94",1,0.8,0.5,1577
"95",1,0.8,0.6,1374
"96",1,0.8,0.7,1174
"97",1,0.8,0.8,976
"98",1,0.8,0.9,781
"99",1,0.8,1,588
"100",1,0.9,0,2625
